            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460543.500000000, A.D. 2024-Aug-21 00:00:00.0000,  1.274882215511871E+08, -8.062032320095374E+07,  3.284979059134051E+04,  1.526463294045313E+01,  2.515594206621328E+01, -2.781338083213569E-03,
2460544.500000000, A.D. 2024-Aug-22 00:00:00.0000,  1.287887972306776E+08, -7.843554527274475E+07,  3.260530450068787E+04,  1.484054272359645E+01,  2.541658236497839E+01, -2.865445067273598E-03,
2460545.500000000, A.D. 2024-Aug-23 00:00:00.0000,  1.300525370058180E+08, -7.622851846328129E+07,  3.235685927322879E+04,  1.441192778414699E+01,  2.567094572571727E+01, -2.872817583995158E-03,
2460546.500000000, A.D. 2024-Aug-24 00:00:00.0000,  1.312790445754940E+08, -7.399979057770181E+07,  3.211101851252094E+04,  1.397866940740627E+01,  2.591889283969773E+01, -2.806209001150251E-03,
2460547.500000000, A.D. 2024-Aug-25 00:00:00.0000,  1.324679151717737E+08, -7.174992436468919E+07,  3.187381779669970E+04,  1.354069405618620E+01,  2.616022125306647E+01, -2.674756883612517E-03,
2460548.500000000, A.D. 2024-Aug-26 00:00:00.0000,  1.336187401956893E+08, -6.947950182788262E+07,  3.165030797578767E+04,  1.309798764069373E+01,  2.639469228924229E+01, -2.491716286494139E-03,
2460549.500000000, A.D. 2024-Aug-27 00:00:00.0000,  1.347311124394394E+08, -6.718912623105070E+07,  3.144429998168722E+04,  1.265059555181153E+01,  2.662205615436192E+01, -2.272192797493133E-03,
2460550.500000000, A.D. 2024-Aug-28 00:00:00.0000,  1.358046308987736E+08, -6.487942222738734E+07,  3.125828379712626E+04,  1.219861422665585E+01,  2.684206980537889E+01, -2.031431062620825E-03,
2460551.500000000, A.D. 2024-Aug-29 00:00:00.0000,  1.368389047094640E+08, -6.255103479038338E+07,  3.109346584241837E+04,  1.174218013154649E+01,  2.705450703440733E+01, -1.783775467062654E-03,
2460552.500000000, A.D. 2024-Aug-30 00:00:00.0000,  1.378335561603418E+08, -6.020462753698916E+07,  3.094987208328024E+04,  1.128145978877448E+01,  2.725916289883592E+01, -1.542152184521584E-03,
2460553.500000000, A.D. 2024-Aug-31 00:00:00.0000,  1.387882229410945E+08, -5.784088081712092E+07,  3.082648136457056E+04,  1.081664208586150E+01,  2.745585509234926E+01, -1.317852648336171E-03,
